,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
390,280.325,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
393,281.325,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
426,362.511,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
429,363.76,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
448,391.106,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
449,392.107,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
450,393.106,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
453,394.857,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
458,396.606,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
461,397.607,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
476,406.147,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
483,408.648,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
488,410.147,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
505,436.722,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
514,444.472,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
525,448.222,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
526,448.971,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
529,449.972,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
532,450.971,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
533,452.222,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
536,453.471,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
541,459.472,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
543,460.222,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
547,461.473,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
550,462.722,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
553,463.721,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
571,517.173,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
575,518.672,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
578,520.172,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
579,521.172,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
582,522.172,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
587,525.422,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
588,526.422,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
593,532.922,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
596,533.922,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
611,571.552,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
614,572.802,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
623,575.552,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
624,576.553,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
625,578.552,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
626,580.052,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
629,581.552,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
634,585.552,C:/Users/WinAdm/OneDrive - Nexus365/Postdoc/Projects/Behaviour/mouse videos/33/VID_20210929_094421.mp4,726.78,29.93,,Jump,,,POINT
